ï»¿Events_id,Stores,campaign_id,Start_date,End_date,Products,Category,base_price,promo_type,Before_promo,After_promo,incremental_revenue,incremental_sold_units,incremental_sold_units_percentage,incremental_revenue_percentage
c8035e,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,122,529,142185.50,407,333.61,332.99
d834f0,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,34,147,134396.50,113,332.35,332.17
660f7c,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,43,186,42807.00,143,332.56,331.84
6af3e0,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,103,444,347598.00,341,331.07,330.86
87be33,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,120,516,138342.00,396,330.00,329.39
fea4be,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,30,129,29635.50,99,330.00,329.28
7704c2,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,382,1638,463901.00,1256,328.80,328.22
6c7601,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,78,334,260953.00,256,328.21,328.00
2ba1ba,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,106,454,121573.00,348,328.30,327.69
20618e,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,379,1622,459099.00,1243,327.97,327.39
45512d,Mysuru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,336,1434,405543.00,1098,326.79,326.21
bf49bf,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,111,473,369003.50,362,326.13,325.92
84a2f4,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,423,1801,508959.50,1378,325.77,325.19
a05e82,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,124,527,140786.50,403,325.00,324.39
d81627,Coimbatore,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,355,1508,425856.00,1153,324.79,324.21
ac0b1c,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,78,331,257894.50,253,324.36,324.15
86755e,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,45,191,43704.50,146,324.44,323.74
05e55f,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,415,1759,267920.50,1344,323.86,322.80
aa96fc,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,379,1603,452078.50,1224,322.96,322.38
0efde2,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,448,1895,288452.50,1447,322.99,321.93
8e6e77,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,37,156,141532.00,119,321.62,321.44
3c3c49,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,168,152236.00,128,320.00,319.82
bfb2b4,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,133,559,148820.50,426,320.30,319.70
8d5095,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",234,840,2238000.00,606,258.97,318.80
6639a5,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,31,130,29635.00,99,319.35,318.66
5abaf9,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,37,155,35322.50,118,318.92,318.22
4f757f,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,129,540,143580.00,411,318.60,318.01
19d7b5,Mysuru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,382,1596,242002.00,1214,317.80,316.76
582098,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,109,453,350653.50,344,315.60,315.39
388a78,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,307,1277,193361.50,970,315.96,314.92
4858ab,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,124,514,397543.00,390,314.52,314.31
7c8fd1,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",416,1472,3904000.00,1056,253.85,312.82
1271,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,121,500,132400.00,379,313.22,312.63
4f0587,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,33,136,122502.00,103,312.12,311.95
fc3f51,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,40,165,37417.50,125,312.50,311.81
ba0b3e,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,40,165,37417.50,125,312.50,311.81
581ca5,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,90,371,98164.50,281,312.22,311.63
686a37,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,85,350,270125.00,265,311.76,311.56
457639,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,222,199809.00,168,311.11,310.94
2e3393,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,112,460,354730.00,348,310.71,310.51
987463,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,45,185,41907.50,140,311.11,310.43
4001c4,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,402,1652,461674.00,1250,310.95,310.39
367e8d,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,30,123,27838.50,93,310.00,309.32
572031,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,423,1734,261333.00,1311,309.93,308.90
440bd9,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,129,528,139386.00,399,309.30,308.72
0312a8,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",393,1375,3633500.00,982,249.87,308.18
34395c,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",434,1514,3997000.00,1080,248.85,306.99
f1b7e9,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,52,211,162074.50,159,305.77,305.57
3a8b79,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,49,199,44900.50,150,306.12,305.45
4e7ca5,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,54,219,49390.50,165,305.56,304.88
a9d059,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,50,202,154939.00,152,304.00,303.80
fa5b45,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,27,109,97525.50,82,303.70,303.53
c99d18,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,218,195051.00,164,303.70,303.53
583386,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,63,254,227163.00,191,303.17,303.01
f95092,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,124,500,131350.00,376,303.23,302.65
3.56E+10,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,36,145,129637.50,109,302.78,302.61
642b50,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,36,145,111107.50,109,302.78,302.58
dcaa89,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,100,403,105848.50,303,303.00,302.42
e93b62,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,513,2067,573946.50,1554,302.92,302.38
49e9ea,Hyderabad,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,415,1672,464254.00,1257,302.89,302.35
59f792,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",448,1545,4063500.00,1097,244.87,302.34
5f65df,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,105,423,111088.50,318,302.86,302.28
1dd472,Mangalore,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,220,886,245977.00,666,302.73,302.18
fe7b5d,Hyderabad,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,472,1902,285049.00,1430,302.97,301.96
a40872,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,47,189,144745.50,142,302.13,301.93
1e9a06,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,84,338,88731.00,254,302.38,301.81
a617b5,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,102,410,313955.00,308,301.96,301.76
4.47E+06,Vijayawada,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,253,1017,282171.50,764,301.98,301.43
0edad5,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,51,205,53797.50,154,301.96,301.39
368ca0,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,432,1736,481612.00,1304,301.85,301.31
c134bb,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,51,205,46097.50,154,301.96,301.29
46d796,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,51,205,46097.50,154,301.96,301.29
802dfa,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,54,217,48791.50,163,301.85,301.18
317699,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,310,1246,186577.00,936,301.94,300.93
50802a,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,64,257,57771.50,193,301.56,300.89
98d4e3,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,70,281,73709.50,211,301.43,300.86
caa1e1,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,432,1736,259932.00,1304,301.85,300.85
800f42,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,273,1097,164251.50,824,301.83,300.83
166a02,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,111,445,116677.50,334,300.90,300.33
003c65,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,114,457,119821.50,343,300.88,300.30
407f1c,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,117,469,122965.50,352,300.85,300.28
da1969,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,322,1291,193154.50,969,300.93,299.93
6.88E+10,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,22,88,78496.00,66,300.00,299.83
417902,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,29,116,103472.00,87,300.00,299.83
c3b647,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,64,256,228352.00,192,300.00,299.83
80be79,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,39,156,139152.00,117,300.00,299.83
4236be,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,70,280,214060.00,210,300.00,299.80
0f422c,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,42,168,128436.00,126,300.00,299.80
cb43c4,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,106,424,324148.00,318,300.00,299.80
a6276f,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,56,224,171248.00,168,300.00,299.80
8ff468,Vijayawada,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,193,773,115613.50,580,300.52,299.52
6ebca9,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,60,240,62880.00,180,300.00,299.43
66b7cc,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,82,328,85936.00,246,300.00,299.43
105788,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,58,232,52084.00,174,300.00,299.33
939435,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,24,96,21552.00,72,300.00,299.33
a83e09,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,22,88,19756.00,66,300.00,299.33
30f1c0,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,22,88,19756.00,66,300.00,299.33
d85264,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,30,120,26940.00,90,300.00,299.33
c1debe,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",381,1303,3417500.00,922,241.99,298.99
a937e8,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,87,347,265026.50,260,298.85,298.66
6a7fa1,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,61,243,185518.50,182,298.36,298.17
021d48,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,61,243,185518.50,182,298.36,298.17
fc376a,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,106,422,322109.00,316,298.11,297.92
cf734f,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,51,203,180778.50,152,298.04,297.87
93118f,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,261,1041,155479.50,780,298.85,297.85
d3f755,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,43,171,152234.50,128,297.67,297.51
40baa1,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,42,167,148666.50,125,297.62,297.45
2eb400,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,52,207,46396.50,155,298.08,297.41
494f1b,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,94,374,97813.00,280,297.87,297.30
6562df,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,78,310,236485.00,232,297.44,297.24
5760fd,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,87,346,90477.00,259,297.70,297.13
af2b25,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,85,338,88381.00,253,297.65,297.08
dbd453,Mangalore,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,195,776,115812.00,581,297.95,296.95
5dda21,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,69,274,208963.00,205,297.10,296.91
d04c7f,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,40,159,35620.50,119,297.50,296.84
ce5851,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,318,1265,188767.50,947,297.80,296.80
1f5ed3,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,33,131,116554.50,98,296.97,296.80
67f756,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,111,441,115279.50,330,297.30,296.73
7014a8,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,97,385,293567.50,288,296.91,296.71
933f7e,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,71,282,63159.00,211,297.18,296.52
b78191,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,91,361,275219.50,270,296.70,296.51
8cbaa3,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,60,238,211701.00,178,296.67,296.50
66050c,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,60,238,211701.00,178,296.67,296.50
0b38d9,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,29,115,102282.50,86,296.55,296.39
4a8c38,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,469,1861,514109.50,1392,296.80,296.27
7a2a47,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,64,254,56873.00,190,296.88,296.21
b46d32,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,337,1337,369331.50,1000,296.74,296.20
3bcf8b,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,138,547,416906.50,409,296.38,296.18
d58c29,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,27,107,95146.50,80,296.30,296.13
cd3392,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,31,123,27538.50,92,296.77,296.11
cfeac1,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,100,396,301722.00,296,296.00,295.81
c3b511,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,75,297,226291.50,222,296.00,295.81
e0ef00,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,309,1226,182787.00,917,296.76,295.77
57576d,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,49,194,172453.00,145,295.92,295.75
e025ee,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,27,107,23946.50,80,296.30,295.64
63a2d2,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,47,186,165317.00,139,295.74,295.58
716a3b,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,130,514,391423.00,384,295.38,295.19
70c312,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,135,534,139383.00,399,295.56,294.99
fc2170,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,158,140341.00,118,295.00,294.83
af100a,Mangalore,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,190,752,112024.00,562,295.79,294.80
9ce293,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,255,1009,150295.50,754,295.69,294.70
f41ca1,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,"Home Care",300,BOGOF,42,166,37117.00,124,295.24,294.58
345b49,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,76,300,228330.00,224,294.74,294.54
4eb35e,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,483,1907,525926.50,1424,294.82,294.29
d76198,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,213,189103.50,159,294.44,294.28
2b50e0,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",390,1318,3443000.00,928,237.95,294.27
