Events_id,Cities,campaign_id,Start_date,End_date,Products,Category,base_price,Promotions,offers,promo_type,quantity_sold_before_promo,quantity_sold_after_promo,No_USe,Reveneu_before_promo,Reveneu_after_promo,IR,ISU,store_id
105788,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,58,464,232,17400,69600,52200,406,STCHE-0
a85a9a,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,42,31,31,2100,1162.5,-937.5,-11,STHYD-2
4.47E+06,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,370,BOGOF,0.5,BOGOF,253,2034,1017,93610,376290,282680,1781,STVJD-0
830e9a,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,325,396,396,55900,45635.04,-10264.96,71,STCHE-1
29524a,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,40,36,36,2000,1350,-650,-4,STBLR-9
3ce076,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,38,50,50,7220,4750,-2470,12,STMLR-1
32fa85,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,106,92,92,5830,3795,-2035,-14,STCHE-3
42f304,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,66,57,57,27390,17741.25,-9648.75,-9,STCBE-3
a929ed,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,358,347,347,55848,40599,-15249,-11,STHYD-5
6dae49,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,117,114,114,6435,4702.5,-1732.5,-3,STBLR-1
3b54c7,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,367,297,297,106430,64597.5,-41832.5,-70,STHYD-3
7d6e2a,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,166,146,146,25896,17082,-8814,-20,STMLR-0
c8ce63,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,369,1221,1221,1107000,3052500,1945500,852,STMDU-0
bd1314,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,37,30,30,2035,1237.5,-797.5,-7,STMYS-2
7634c0,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,15,12,12,750,450,-300,-3,STMLR-0
d304f9,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,309,268,268,89610,58290,-31320,-41,STCHE-5
34ac29,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,73,64,64,30295,19920,-10375,-9,STMDU-0
57a7bc,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,100,782,391,102000,398820,296820,682,STHYD-5
70e65e,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,320,937,937,960000,2342500,1382500,617,STCBE-0
cf2a34,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,106,81,81,43990,25211.25,-18778.75,-25,STHYD-3
1c1cb7,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,39,35,35,1950,1312.5,-637.5,-4,STHYD-5
8.25E+90,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,112,88,88,6160,3630,-2530,-24,STBLR-3
ad56bd,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,36,37,37,3960,2035,-1925,1,STMLR-2
32efe6,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,30,162,81,35700,96390,60690,132,STVSK-3
eaa64b,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,58,43,43,5220,2902.5,-2317.5,-15,STBLR-3
9e82db,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,92,79,79,5060,3258.75,-1801.25,-13,STMDU-1
d5b8af,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,25,35,35,4750,3325,-1425,10,STVJD-1
6d24bc,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,206,179,179,32136,20943,-11193,-27,STMDU-2
107747,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,488,580,580,419680,334196,-85484,92,STHYD-1
04da18,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,223,1208,604,44600,120800,76200,985,STVSK-4
3a3e96,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,68,526,263,20400,78900,58500,458,STBLR-6
8f1624,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,57,75,75,3705,2437.5,-1267.5,18,STVJD-0
b8269b,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,77,464,232,26950,81200,54250,387,STBLR-1
c6ca4d,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,465,646,646,399900,372225.2,-27674.8,181,STHYD-2
987463,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,45,370,185,13500,55500,42000,325,STBLR-0
0b51fe,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,39,29,29,1950,1087.5,-862.5,-10,STHYD-3
d1ceaf,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,36,29,29,1800,1087.5,-712.5,-7,STBLR-5
d834f0,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,34,294,147,40460,174930,134470,260,STMYS-3
1ed982,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,75,504,252,26250,88200,61950,429,STCHE-6
e9c690,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,45,38,38,4050,2565,-1485,-7,STMDU-3
268ca2,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,63,151,151,189000,377500,188500,88,STVJD-0
a1624e,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,351,449,449,301860,258713.8,-43146.2,98,STHYD-1
31b59d,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,27,21,21,1350,787.5,-562.5,-6,STVSK-3
82454e,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,54,48,48,2970,1980,-990,-6,STMLR-1
1548f8,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,100,175,175,300000,437500,137500,75,STVSK-4
84a2f4,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,370,BOGOF,0.5,BOGOF,423,3602,1801,156510,666370,509860,3179,STCHE-7
9e59d5,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,64,49,49,3520,2021.25,-1498.75,-15,STVSK-1
873333,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,196,509,509,588000,1272500,684500,313,STMLR-0
8b751b,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,15,12,12,825,495,-330,-3,STMLR-0
f856b9,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,66,147,147,198000,367500,169500,81,STMLR-2
dcaa89,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,100,806,403,35000,141050,106050,706,STHYD-6
677e2c,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,122,652,326,42700,114100,71400,530,STHYD-1
b00eeb,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,51,392,196,60690,233240,172550,341,STCHE-0
8ff468,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,193,1546,773,38600,154600,116000,1353,STVJD-0
72f6b4,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,241,344,344,207260,198212.8,-9047.2,103,STTRV-0
300664,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,80,552,276,28000,96600,68600,472,STHYD-5
7ecbbb,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,103,88,88,42745,27390,-15355,-15,STHYD-1
2dc515,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,232,294,294,39904,33880.56,-6023.44,62,STMYS-3
a4fb0b,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,318,448,448,273480,258137.6,-15342.4,130,STMDU-0
f2d198,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,166,157,157,25896,18369,-7527,-9,STTRV-1
df5c15,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,101,90,90,41915,28012.5,-13902.5,-11,STBLR-5
4e6a19,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,45,242,121,13500,36300,22800,197,STHYD-3
6436da,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,30,236,118,35700,140420,104720,206,STMDU-1
852b4f,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,49,70,70,3038,2170,-868,21,STHYD-5
26322a,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,52,71,71,3380,2307.5,-1072.5,19,STMLR-0
57576d,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,49,388,194,58310,230860,172550,339,STBLR-5
af646e,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,54,78,78,10260,7410,-2850,24,STHYD-4
ccbc3a,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,52,49,49,21580,15251.25,-6328.75,-3,STTRV-0
572031,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,423,3468,1734,84600,346800,262200,3045,STBLR-6
5a21a5,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,31,26,26,1550,975,-575,-5,STBLR-4
c6bf42,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,52,346,173,15600,51900,36300,294,STCBE-3
f5ff07,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,80,100,100,15200,9500,-5700,20,STCHE-6
2c8137,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,31,154,77,9300,23100,13800,123,STVSK-3
4e3a3d,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,197,285,285,169420,164217,-5203,88,STVJD-0
582098,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,109,906,453,111180,462060,350880,797,STMYS-1
9387d1,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,329,470,470,282940,270814,-12126,141,STHYD-6
6c9451,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,259,225,225,40404,26325,-14079,-34,STVSK-0
9c74f7,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,71,90,90,7810,4950,-2860,19,STBLR-9
c3bbcc,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,31,244,122,9300,36600,27300,213,STBLR-2
00a25a,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,64,89,89,3968,2759,-1209,25,STCHE-3
7b0f7d,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,180,255,255,30960,29386.2,-1573.8,75,STVJD-1
b484bd,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,36,34,34,14940,10582.5,-4357.5,-2,STTRV-1
3aaafb,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,50,43,43,20750,13383.75,-7366.25,-7,STMDU-2
